age,exit,travel,dept,homeDist,edu,id,envrStf,gender,jobLvl,jobStf,marital,monthSal,pastComp,overtime,salInc,relStf,workYrs,wlBal,compYrs,lastPromYrs,currManYrs
44,No,Rarely,Research & Development,7,Master,36,Low,Female,3,Very High,Married,10248,3,No,14,Very High,24,Better,22,5,17
46,No,Rarely,Sales,2,Master,38,Medium,Female,5,Low,Single,18947,3,No,12,Very High,22,Good,2,2,1
33,No,Rarely,Research & Development,2,Bachelor,39,High,Male,1,Very High,Single,2496,4,No,11,Very High,7,Better,1,0,0
44,No,Rarely,Research & Development,10,Master,40,Very High,Male,2,Very High,Married,6465,2,Yes,13,Very High,9,Best,4,1,3
30,No,Rarely,Research & Development,9,College,41,Very High,Male,1,High,Single,2206,1,No,13,Low,10,Better,10,1,8
39,Yes,Rarely,Sales,5,Bachelor,42,Very High,Male,2,Very High,Married,2086,3,No,14,High,19,Best,1,0,0
24,Yes,Rarely,Research & Development,1,Bachelor,45,Medium,Male,1,Very High,Married,2293,2,Yes,16,Low,6,Good,2,2,0
43,No,Rarely,Research & Development,2,College,46,Very High,Female,1,High,Divorced,2645,1,No,12,Very High,6,Good,5,1,4
50,Yes,Rarely,Sales,3,College,47,Low,Male,1,High,Married,2683,1,Yes,14,High,3,Better,3,0,2
35,No,Rarely,Sales,2,Bachelor,49,Very High,Female,1,Very High,Married,2014,1,No,13,Low,2,Better,2,2,2
36,No,Rarely,Research & Development,5,Master,51,Medium,Female,1,Low,Married,3419,9,Yes,14,Very High,6,Best,1,0,0
33,No,Frequently,Sales,1,Bachelor,52,High,Female,2,Low,Married,5376,2,No,19,Low,10,Better,5,1,3
35,No,Rarely,Research & Development,4,College,53,High,Male,1,Very High,Divorced,1951,1,No,12,High,1,Better,1,0,0
27,No,Rarely,Research & Development,2,Master,54,Very High,Female,1,Low,Divorced,2341,1,No,13,Very High,1,Better,1,0,0
26,Yes,Rarely,Research & Development,25,Bachelor,55,Low,Male,1,High,Single,2293,1,No,12,High,1,Good,1,0,1
27,No,Frequently,Sales,8,Bachelor,56,Very High,Male,3,High,Single,8726,1,No,15,Very High,9,Better,9,1,7
30,No,Frequently,Research & Development,1,College,57,High,Female,2,Very High,Single,4011,1,No,23,Very High,12,Better,12,3,7
41,Yes,Rarely,Research & Development,12,Bachelor,58,Medium,Female,5,High,Married,19545,1,No,12,Very High,23,Better,22,15,8
34,No,None,Sales,23,Master,60,Medium,Male,2,High,Single,4568,0,No,20,High,10,Better,9,8,7
37,No,Rarely,Research & Development,19,College,61,Medium,Male,1,Medium,Married,3022,4,No,21,Low,8,Better,1,0,0
46,No,Frequently,Sales,5,Master,62,Low,Male,2,Very High,Single,5772,4,Yes,21,High,14,Better,9,0,8
35,No,Rarely,Research & Development,8,Below College,63,Very High,Male,1,Very High,Married,2269,1,No,19,Very High,1,Better,1,0,1
48,Yes,Rarely,Research & Development,1,College,64,Low,Male,3,High,Single,5381,9,Yes,13,Very High,23,Better,1,0,0
28,Yes,Rarely,Research & Development,5,Master,65,High,Male,1,High,Single,3441,1,Yes,13,High,2,Good,2,2,2
44,No,Rarely,Sales,1,Doctor,68,Medium,Female,2,Low,Divorced,5454,5,Yes,21,High,9,Good,4,1,3
35,No,None,Research & Development,11,College,70,High,Male,3,Low,Married,9884,2,Yes,13,High,10,Better,4,2,3
26,No,Rarely,Sales,23,Bachelor,72,High,Female,2,Very High,Married,4157,7,Yes,19,High,5,Good,2,0,0
33,No,Frequently,Research & Development,1,College,73,Low,Female,3,Very High,Single,13458,1,Yes,12,High,15,Better,15,8,12
35,No,Frequently,Sales,18,Doctor,74,Medium,Male,3,Low,Married,9069,1,No,22,Very High,9,Good,9,1,8
35,No,Rarely,Research & Development,23,Master,75,High,Female,1,Low,Married,4014,3,Yes,15,High,4,Better,2,2,2
31,No,Rarely,Research & Development,7,Master,76,Very High,Male,2,Very High,Divorced,5915,3,No,22,Very High,10,Good,7,1,7
37,No,Rarely,Research & Development,1,Master,77,Low,Male,2,High,Divorced,5993,1,No,18,High,7,Best,7,0,7
32,No,Rarely,Research & Development,1,Bachelor,78,Low,Male,2,Very High,Married,6162,1,Yes,22,Medium,9,Better,9,7,8
38,No,Frequently,Research & Development,29,Doctor,79,Very High,Female,2,Very High,Single,2406,1,No,11,Very High,10,Better,10,9,9
50,No,Rarely,Research & Development,7,College,80,Medium,Female,5,High,Divorced,18740,5,Yes,12,Very High,29,Good,27,13,8
59,No,Rarely,Sales,25,Bachelor,81,Low,Female,3,Low,Single,7637,7,No,11,Very High,28,Good,21,7,9
36,No,Rarely,Research & Development,8,Bachelor,83,High,Female,3,High,Divorced,10096,1,No,13,Medium,17,Better,17,12,8
55,No,Rarely,Research & Development,8,Bachelor,84,Very High,Female,4,High,Divorced,14756,2,Yes,14,High,21,Better,5,0,2
36,No,Frequently,Research & Development,11,Bachelor,85,Medium,Male,2,Medium,Single,6499,1,No,13,High,6,Better,6,0,3
45,No,Rarely,Research & Development,7,Bachelor,86,Medium,Male,3,Low,Divorced,9724,2,No,17,High,25,Better,1,0,0
35,No,Frequently,Research & Development,1,Bachelor,88,Medium,Male,1,Low,Married,2194,4,No,13,Very High,5,Good,3,1,2
36,Yes,Rarely,Research & Development,9,Bachelor,90,Very High,Male,1,High,Married,3388,0,Yes,17,Low,2,Good,1,0,0
59,No,Frequently,Sales,1,Below College,91,Low,Female,2,High,Single,5473,7,No,11,Very High,20,Good,4,1,3
29,No,Rarely,Research & Development,2,Bachelor,94,High,Male,1,Medium,Married,2703,0,No,23,Very High,6,Better,5,0,4
31,No,Rarely,Research & Development,1,Master,95,High,Male,1,Medium,Single,2501,1,No,17,Medium,1,Better,1,1,0
32,No,Rarely,Research & Development,1,Bachelor,96,Medium,Male,2,Medium,Married,6220,1,No,17,Medium,10,Better,10,0,9
36,No,Rarely,Research & Development,6,Bachelor,97,Medium,Female,1,Very High,Married,3038,3,No,12,Medium,5,Better,1,0,0
31,No,Rarely,Research & Development,8,Master,98,High,Female,2,Very High,Single,4424,1,No,23,Very High,11,Better,11,1,8
35,No,Rarely,Sales,1,Master,100,High,Male,2,Low,Single,4312,0,No,14,Medium,16,Better,15,2,8
45,No,Rarely,Research & Development,6,Master,101,Very High,Male,3,Low,Married,13245,4,Yes,14,Medium,17,Best,0,0,0
37,No,Rarely,Research & Development,7,Master,102,Low,Male,3,High,Single,13664,4,No,13,Low,16,Best,5,0,2
46,No,Rarely,Human Resources,5,College,103,Medium,Male,2,Medium,Divorced,5021,8,Yes,22,Very High,16,Better,4,0,2
30,No,Rarely,Research & Development,1,Below College,104,Very High,Male,2,Very High,Married,5126,1,Yes,12,High,10,Good,10,3,0
35,No,Rarely,Research & Development,1,Bachelor,105,Medium,Male,1,High,Single,2859,1,No,18,Low,6,Better,6,0,4
55,No,Rarely,Sales,1,College,106,Low,Male,3,Very High,Married,10239,3,No,14,Very High,24,Better,1,1,0
38,No,None,Research & Development,6,Bachelor,107,Medium,Female,2,Very High,Divorced,5329,7,Yes,12,Very High,17,Better,13,1,9
34,No,Rarely,Research & Development,1,College,110,Low,Male,2,Medium,Married,4325,1,No,15,High,5,Better,5,1,3
56,No,Rarely,Research & Development,7,Bachelor,112,Very High,Male,3,Very High,Single,7260,4,No,11,Low,37,Good,6,0,2
23,No,Rarely,Sales,2,Below College,113,High,Male,1,Low,Divorced,2322,3,No,13,High,3,Better,0,0,0
51,No,Rarely,Research & Development,9,Master,116,Very High,Male,1,Very High,Married,2075,3,No,23,Medium,10,Better,4,0,3
30,No,Rarely,Research & Development,2,Bachelor,117,High,Male,2,Very High,Married,4152,1,No,19,Low,11,Better,11,10,8
46,Yes,Rarely,Sales,9,College,118,High,Male,3,Very High,Single,9619,1,No,16,Very High,9,Better,9,4,7
40,No,Frequently,Research & Development,1,Master,119,High,Male,4,Medium,Married,13503,1,No,22,Very High,22,Good,22,11,11
51,No,Rarely,Sales,21,Master,120,High,Male,2,Very High,Single,5441,0,Yes,22,Very High,11,Bad,10,1,0
30,No,Rarely,Sales,4,College,121,High,Female,2,Medium,Divorced,5209,1,Yes,12,Medium,11,Good,11,2,7
46,No,Frequently,Research & Development,1,Bachelor,124,High,Male,3,Low,Married,10673,2,Yes,13,High,21,Good,10,9,5
32,No,Rarely,Sales,6,Master,125,Medium,Male,2,High,Single,5010,1,No,16,Low,12,Better,11,5,7
54,No,Rarely,Research & Development,2,Master,126,Low,Female,3,High,Married,13549,9,No,12,Low,16,Bad,4,0,3
24,No,Rarely,Sales,3,College,128,Low,Female,2,High,Married,4999,0,No,21,Low,4,Good,3,0,2
28,No,None,Sales,4,Bachelor,129,Medium,Male,2,High,Married,4221,1,No,15,Medium,5,Best,5,0,4
58,No,Rarely,Sales,10,Master,131,Very High,Male,4,High,Single,13872,0,No,13,High,38,Good,37,1,8
44,No,None,Research & Development,23,Bachelor,132,Medium,Male,2,Medium,Married,2042,4,No,12,High,17,Best,3,1,2
37,Yes,Rarely,Human Resources,6,Master,133,High,Male,1,Low,Divorced,2073,4,Yes,22,Very High,7,Better,3,0,2
32,No,Rarely,Research & Development,1,Below College,134,Very High,Male,1,Low,Single,2956,1,No,13,Very High,1,Better,1,0,0
20,Yes,Frequently,Research & Development,6,Bachelor,137,Very High,Female,1,Very High,Single,2926,1,Yes,18,Medium,1,Better,1,1,0
34,No,Rarely,Research & Development,6,Master,138,Low,Female,2,High,Single,4809,1,No,14,High,16,Better,16,2,10
37,No,None,Research & Development,2,College,139,High,Male,2,Very High,Divorced,5163,5,No,14,Very High,17,Best,1,0,0
59,No,None,Human Resources,2,Master,140,High,Female,5,Very High,Married,18844,9,No,21,Very High,30,Better,3,2,2
50,No,Frequently,Research & Development,1,Bachelor,141,Low,Female,5,Medium,Married,18172,3,Yes,19,Low,28,Good,8,0,7
25,Yes,Rarely,Sales,5,Bachelor,142,High,Male,2,High,Single,5744,1,Yes,11,Very High,6,Better,6,0,3
25,No,Rarely,Research & Development,7,Below College,143,Very High,Male,1,Very High,Married,2889,1,No,11,High,2,Better,2,2,1
22,No,Rarely,Research & Development,15,Bachelor,144,Medium,Female,1,Very High,Single,2871,1,No,15,High,1,Better,0,0,0
51,No,Frequently,Research & Development,1,Master,145,Low,Female,3,Low,Single,7484,3,No,20,High,23,Good,13,12,8
34,Yes,Frequently,Research & Development,7,Bachelor,147,Low,Male,2,High,Single,6074,1,Yes,24,Very High,9,Better,9,0,6
54,No,None,Human Resources,26,Bachelor,148,Very High,Female,4,Very High,Single,17328,2,Yes,12,High,23,Better,5,4,4
24,No,Rarely,Research & Development,18,Below College,150,Medium,Male,1,High,Married,2774,0,No,12,High,6,Better,5,1,2
34,No,Rarely,Research & Development,6,Master,151,High,Female,2,Medium,Divorced,4505,6,No,15,High,12,Better,1,0,0
37,No,Rarely,Sales,3,Bachelor,152,High,Male,3,Very High,Single,7428,2,No,12,Low,12,Better,5,1,3
34,No,Rarely,Research & Development,5,Bachelor,153,High,Female,3,Low,Single,11631,2,No,12,Very High,14,Better,11,5,8
36,No,Frequently,Sales,11,College,154,Medium,Female,3,Very High,Married,9738,0,No,14,High,10,Better,9,2,8
36,No,Rarely,Research & Development,3,College,155,Low,Female,1,Very High,Divorced,2835,5,No,22,Low,7,Better,1,0,0
43,No,Frequently,Sales,26,College,158,High,Male,4,Very High,Married,16959,1,Yes,12,Very High,25,Best,25,4,12
30,No,Frequently,Research & Development,23,Bachelor,159,Low,Male,1,High,Divorced,2613,1,No,25,High,10,Good,10,0,9
33,No,None,Sales,22,College,160,High,Male,2,Medium,Married,6146,0,No,13,Low,8,Best,7,0,7
56,Yes,Rarely,Research & Development,14,Master,161,Medium,Female,1,Medium,Married,4963,9,Yes,18,Low,7,Better,5,4,3
51,No,Rarely,Research & Development,6,Bachelor,162,Low,Male,5,High,Single,19537,7,No,13,High,23,Better,20,15,15
31,Yes,Rarely,Sales,6,Master,163,Medium,Male,2,High,Married,6172,4,Yes,18,Medium,12,Good,7,7,7
26,No,Rarely,Research & Development,6,Bachelor,164,High,Female,1,Medium,Married,2368,1,No,19,High,5,Good,5,4,3
58,Yes,Rarely,Research & Development,23,Master,165,Very High,Female,3,Very High,Married,10312,1,No,12,Very High,40,Good,40,15,6
19,Yes,Rarely,Sales,22,Below College,167,Very High,Male,1,High,Single,1675,1,Yes,19,Very High,0,Good,0,0,0
22,No,Rarely,Research & Development,2,Below College,169,High,Male,1,Very High,Married,2523,0,No,14,High,3,Better,2,2,1
49,No,Rarely,Research & Development,20,Master,170,High,Female,2,Low,Married,6567,1,No,14,High,16,Good,15,5,11
43,No,Frequently,Research & Development,28,Bachelor,171,Medium,Female,1,High,Single,4739,4,No,12,Very High,18,Better,3,1,2
50,No,Frequently,Sales,12,Bachelor,174,High,Female,3,Very High,Single,9208,4,No,11,Very High,16,Better,2,2,1
31,Yes,Rarely,Sales,20,Bachelor,175,Medium,Female,2,High,Married,4559,3,Yes,11,High,4,Better,2,2,2
41,No,Rarely,Sales,9,Below College,176,High,Male,3,High,Divorced,8189,3,Yes,13,High,12,Better,9,0,7
26,No,Rarely,Human Resources,25,Below College,177,High,Female,1,High,Married,2942,1,No,23,Very High,8,Better,8,5,7
36,No,Rarely,Research & Development,6,College,178,Medium,Male,2,Medium,Divorced,4941,6,No,20,Very High,7,Better,3,0,1
51,Yes,Frequently,Research & Development,8,Master,179,Low,Male,3,Very High,Single,10650,2,No,15,Very High,18,Better,4,0,3
39,No,Rarely,Sales,4,Master,182,Very High,Female,2,High,Married,5902,4,No,14,High,17,Best,15,5,9
25,No,Rarely,Sales,28,Bachelor,183,Low,Male,2,High,Married,8639,2,No,18,Very High,6,Better,2,2,2
30,No,Rarely,Human Resources,9,Bachelor,184,High,Male,2,Very High,Married,6347,0,Yes,19,Very High,12,Bad,11,4,7
32,Yes,Rarely,Research & Development,9,Bachelor,190,Low,Female,1,Low,Single,4200,7,No,22,Low,10,Best,5,0,4
45,No,Rarely,Research & Development,29,Bachelor,192,High,Male,1,Very High,Single,3452,5,No,13,Medium,9,Good,6,0,3
38,No,Rarely,Research & Development,3,Doctor,193,Very High,Female,2,High,Single,4317,3,Yes,20,Medium,19,Better,3,2,2
30,No,Rarely,Research & Development,18,Bachelor,194,Low,Female,1,High,Single,2632,1,No,14,High,5,Good,5,0,4
32,No,Frequently,Sales,9,College,195,Very High,Male,2,Very High,Divorced,4668,0,No,17,Very High,9,Best,8,0,7
30,No,Rarely,Research & Development,5,Bachelor,197,Very High,Female,1,Low,Divorced,3204,5,No,14,Very High,8,Better,3,2,2
30,No,Rarely,Research & Development,2,Below College,198,Medium,Male,1,Very High,Single,2720,0,No,13,Very High,6,Better,5,1,2
41,No,Frequently,Research & Development,10,Bachelor,199,Very High,Male,4,Low,Divorced,17181,4,No,13,Medium,21,Good,7,7,7
41,No,Rarely,Research & Development,9,Master,200,High,Male,1,Low,Married,2238,2,No,21,Very High,7,Better,5,1,4
19,No,Rarely,Research & Development,3,Below College,201,Medium,Female,1,Medium,Single,1483,1,No,14,Very High,1,Better,1,0,0
40,No,Frequently,Research & Development,26,Bachelor,202,Medium,Female,2,Medium,Divorced,5605,1,No,11,Low,20,Better,20,2,13
35,No,Rarely,Sales,1,Doctor,204,High,Male,3,Medium,Married,7295,1,No,13,Low,10,Better,10,0,6
53,No,Rarely,Sales,6,College,205,Medium,Male,2,High,Married,2306,2,Yes,20,Very High,13,Bad,7,4,5
45,No,Rarely,Research & Development,9,Bachelor,206,Medium,Male,2,Medium,Divorced,2348,8,No,18,High,20,Bad,17,0,15
32,No,Frequently,Sales,8,Bachelor,207,Medium,Female,3,Very High,Single,8998,1,No,14,Very High,9,Better,9,3,7
29,No,None,Research & Development,1,Below College,208,Very High,Male,2,High,Married,4319,1,No,13,Low,10,Better,10,0,9
51,No,Rarely,Research & Development,7,Master,211,Medium,Male,2,High,Married,6132,2,No,17,High,10,Better,1,0,0
58,No,Rarely,Research & Development,9,Bachelor,214,Medium,Female,1,Medium,Married,3346,4,Yes,20,Medium,9,Good,1,0,0
40,No,Rarely,Sales,4,Master,215,High,Male,3,Very High,Married,10855,7,No,11,Low,15,Good,12,2,11
34,No,Frequently,Sales,2,Master,216,High,Female,1,High,Married,2231,6,No,18,Very High,6,Better,4,1,2
22,No,Rarely,Research & Development,19,Below College,217,High,Male,1,Very High,Married,2323,1,No,24,Low,2,Better,2,2,2
27,No,None,Research & Development,9,Bachelor,218,Very High,Male,1,Medium,Divorced,2024,6,No,18,Very High,6,Bad,2,2,2
28,No,Rarely,Research & Development,21,Bachelor,221,High,Male,1,Very High,Married,2713,1,No,11,High,5,Bad,5,0,2
57,No,Rarely,Research & Development,24,College,223,High,Male,3,Very High,Divorced,9439,3,Yes,16,Medium,12,Bad,5,1,4
27,No,None,Research & Development,3,Bachelor,224,High,Male,1,High,Divorced,2566,1,Yes,15,Very High,1,Good,1,0,1
50,No,Rarely,Research & Development,11,Bachelor,226,High,Female,5,Medium,Single,19926,3,No,15,Medium,21,Better,5,4,4
41,No,Rarely,Research & Development,14,Bachelor,227,Low,Male,1,High,Divorced,2451,4,No,12,Low,13,Better,9,1,8
30,No,Rarely,Sales,5,Bachelor,228,Medium,Female,3,Very High,Married,9419,2,No,12,High,12,Better,10,7,4
38,No,Rarely,Sales,1,Master,230,Low,Female,2,Very High,Single,8686,4,No,22,High,12,Best,8,0,7
32,No,Rarely,Research & Development,6,Doctor,231,High,Male,1,High,Single,3038,3,No,20,Low,8,Better,5,1,4
27,No,Rarely,Research & Development,17,Bachelor,233,High,Male,1,Medium,Married,3058,0,Yes,16,Very High,6,Good,5,1,1
19,Yes,Frequently,Sales,1,Below College,235,High,Female,1,Low,Single,2325,0,No,21,Low,1,Best,0,0,0
36,No,Frequently,Research & Development,3,College,238,Very High,Male,1,Medium,Single,2088,4,No,12,High,13,Good,8,7,2
30,No,None,Research & Development,9,Bachelor,239,High,Male,2,Low,Divorced,3072,1,No,11,High,12,Better,12,6,10
45,No,Rarely,Sales,4,College,240,High,Female,2,Low,Divorced,5006,4,Yes,11,Low,9,Best,5,0,3
56,No,Rarely,Research & Development,8,Bachelor,241,High,Female,1,Low,Divorced,4257,4,Yes,18,High,19,Better,2,2,2
33,No,Rarely,Research & Development,2,Bachelor,242,High,Male,1,Very High,Single,2500,0,No,14,Low,4,Best,3,0,2
19,Yes,Rarely,Research & Development,2,Bachelor,243,Medium,Male,1,Very High,Single,1102,1,No,22,High,1,Good,1,1,0
46,No,Rarely,Sales,1,College,244,Medium,Female,3,Low,Divorced,10453,1,No,25,High,24,Better,24,15,7
38,No,Rarely,Research & Development,9,College,245,High,Female,1,Very High,Single,2288,1,No,12,High,2,Better,2,2,1
31,No,Rarely,Research & Development,12,Below College,246,High,Female,1,Very High,Married,3929,8,Yes,23,High,7,Better,4,0,2
34,No,Rarely,Research & Development,27,College,247,Very High,Female,1,Medium,Single,2311,2,No,15,Very High,9,Better,3,1,2
41,Yes,Rarely,Sales,20,College,248,Medium,Female,1,Medium,Single,3140,1,Yes,22,Very High,4,Good,4,0,2
50,No,Rarely,Research & Development,1,Bachelor,249,High,Male,1,High,Married,3690,2,No,15,Very High,5,Good,3,0,2
53,No,Rarely,Research & Development,13,College,250,Very High,Female,2,Low,Divorced,4450,1,No,11,High,5,Better,4,1,3
33,No,Rarely,Research & Development,14,Bachelor,252,Very High,Female,1,Medium,Married,2756,1,No,13,Very High,8,Better,8,1,6
40,No,Rarely,Research & Development,4,Below College,253,Very High,Female,5,High,Married,19033,1,No,14,Medium,21,Better,20,9,9
55,No,Rarely,Research & Development,14,Master,254,High,Male,5,Medium,Single,18722,8,No,11,Very High,36,Better,24,2,15
34,No,Frequently,Research & Development,2,Below College,256,Very High,Male,2,High,Married,9547,1,No,17,High,10,Good,10,1,9
51,No,Rarely,Research & Development,3,Bachelor,258,Very High,Female,4,Medium,Single,13734,3,No,18,High,21,Better,7,1,0
52,No,Rarely,Research & Development,1,Master,259,High,Male,5,High,Married,19999,0,No,14,Low,34,Better,33,11,9
27,No,Rarely,Research & Development,9,Bachelor,260,Very High,Female,1,Medium,Single,2279,1,No,16,Very High,7,Good,7,0,3
35,Yes,Rarely,Research & Development,23,College,261,Medium,Male,2,High,Married,5916,3,Yes,13,Low,8,Better,1,0,1
43,No,None,Research & Development,7,Bachelor,262,Very High,Male,1,Very High,Divorced,2089,4,No,14,Very High,7,Best,5,2,2
45,No,None,Research & Development,2,College,264,Low,Male,4,Very High,Married,16792,9,No,23,Very High,22,Better,20,11,8
37,No,Rarely,Research & Development,21,Bachelor,267,Medium,Male,1,Low,Married,3564,1,Yes,12,Low,8,Good,8,1,7
35,No,Frequently,Research & Development,2,Bachelor,269,Medium,Female,2,Medium,Single,4425,5,No,11,Very High,10,Better,6,1,2
42,No,None,Research & Development,21,College,270,High,Female,2,High,Divorced,5265,2,No,16,Medium,11,Better,5,0,2
38,No,Rarely,Research & Development,2,Master,271,Very High,Male,2,High,Married,6553,9,No,14,Medium,14,Better,1,0,0
38,No,Rarely,Research & Development,29,Bachelor,273,Very High,Male,2,Very High,Married,6261,3,No,18,Low,9,Bad,7,1,7
27,No,Frequently,Research & Development,1,Below College,274,High,Male,2,Low,Married,4298,5,No,19,High,6,Better,2,2,0
49,No,None,Research & Development,18,Master,275,Very High,Male,2,Very High,Divorced,6804,1,Yes,15,Low,7,Better,7,1,7
34,No,Frequently,Research & Development,10,Master,277,Very High,Male,1,High,Divorced,3815,1,Yes,17,Very High,5,Best,5,2,0
40,No,Rarely,Research & Development,19,College,281,High,Male,2,Very High,Married,2741,8,Yes,15,High,15,Best,7,3,7
38,Yes,Rarely,Research & Development,29,Below College,282,Medium,Male,2,Low,Married,6673,7,Yes,19,Medium,17,Better,1,0,0
29,Yes,Rarely,Sales,27,Bachelor,283,Medium,Female,3,Very High,Married,7639,1,No,22,Very High,10,Good,10,1,9
22,No,Rarely,Research & Development,5,Bachelor,284,Very High,Male,1,Medium,Divorced,2328,1,Yes,16,Low,4,Good,4,2,2
36,No,Frequently,Research & Development,18,Below College,286,Medium,Female,1,Very High,Single,2153,1,No,13,Low,8,Better,8,1,7
40,No,None,Research & Development,9,Doctor,287,Very High,Male,2,Very High,Married,4876,9,No,14,Very High,5,Bad,3,0,2
46,No,Rarely,Research & Development,1,Master,288,Very High,Male,3,Low,Divorced,9396,7,No,16,High,17,Better,4,0,3
32,Yes,Rarely,Sales,4,Master,291,Very High,Male,3,Very High,Married,10400,1,No,11,High,14,Good,14,9,8
30,No,None,Research & Development,1,Below College,292,High,Male,3,High,Single,8474,1,No,22,High,12,Better,11,5,8
27,No,Frequently,Sales,20,Bachelor,293,Very High,Female,2,High,Single,9981,1,No,14,Very High,7,Better,7,0,7
51,No,Rarely,Research & Development,8,Master,296,Medium,Male,3,Medium,Married,12490,5,No,16,Very High,16,Bad,10,4,7
30,Yes,Rarely,Research & Development,3,Bachelor,297,Very High,Female,1,Low,Single,2657,5,Yes,11,High,8,Better,5,0,4
41,No,Rarely,Sales,6,Bachelor,298,Very High,Female,3,Very High,Single,13591,3,Yes,18,High,16,Better,1,0,0
30,Yes,Frequently,Sales,26,Master,299,High,Female,2,Low,Single,6696,5,No,15,High,9,Good,6,0,1
29,Yes,Rarely,Research & Development,1,Bachelor,300,High,Male,1,High,Single,2058,0,No,14,Very High,7,Good,6,1,5
45,No,None,Sales,6,Bachelor,302,Very High,Female,3,Very High,Single,8865,6,No,12,Very High,23,Better,19,12,8
54,No,Rarely,Sales,3,Bachelor,303,Very High,Female,2,Low,Married,5940,2,No,14,Very High,16,Better,6,0,5
36,No,Rarely,Research & Development,5,College,304,Very High,Male,2,Medium,Single,5914,8,No,16,Very High,16,Best,13,3,7
33,No,Rarely,Research & Development,4,Master,305,High,Female,1,Medium,Married,2622,6,No,21,Very High,7,Better,3,1,1
37,No,Frequently,Research & Development,11,Bachelor,306,Medium,Male,3,Very High,Divorced,12185,1,Yes,14,High,10,Better,10,0,7
38,No,Rarely,Sales,3,Bachelor,307,Low,Male,3,High,Divorced,10609,0,No,12,High,17,Good,16,5,13
31,No,None,Research & Development,1,Master,308,High,Male,2,High,Married,4345,0,No,12,Very High,6,Better,5,1,4
